Art_ID,Year,Newspaper,Headline,text_a,text_b,ss_a,ss_b,lbl_a,lbl_b
26665,2015,AD/Algemeen Dagblad,Wéér terreur uit Molenbeek,"Terwijl Parijs rouwt verplaatst zoektocht oorsprong aanslagen Brusselse Molenbeek vierde keer 1,5 stadsdeel gelinkt genadeloze terreur Waarom steeds Molenbeek Zomaar ineens hoek straat geeft wethouder Ahmed El Khannouss Brusselse stadsdeel Molenbeek interview journalisten heel Europa dertig Syriëstrijders vandaan komen klopt 28 procent mensen werk alle jongeren zelfs 40 procent moeten Molenbeek gaan stigmatiseren zegt El Khannouss bevolkingsgroepen elkaar opzetten precies ligt Molenbeek ligt social media poging imago Molenbeek terroristennest weg praten kansloos parkeerkaartje gevonden Belgische auto Parijse theater Bataclan verwijst straat vlak buurt Rue Fernand Brunfaut Molenbeek 1,5 dag aanslag Parijs ineens middelpunt wereld auto twee kalasjnikovs kwam broeierige stadsdeel Brussel Net ","Zomaar ineens hoek straat geeft wethouder Ahmed El Khannouss Brusselse stadsdeel Molenbeek interview journalisten heel Europa dertig Syriëstrijders vandaan komen klopt 28 procent mensen werk alle jongeren zelfs 40 procent moeten Molenbeek gaan stigmatiseren zegt El Khannouss bevolkingsgroepen elkaar opzetten precies ligt Molenbeek ligt social media poging imago Molenbeek terroristennest weg praten kansloos parkeerkaartje gevonden Belgische auto Parijse theater Bataclan verwijst straat vlak buurt Rue Fernand Brunfaut Molenbeek 1,5 dag aanslag Parijs ineens middelpunt wereld auto twee kalasjnikovs kwam broeierige stadsdeel Brussel Net minstens twee overleden terroristen Molenbeek armste plekken België kreeg imago vrijplaats trekt kwaadwillenden zegt Ahidar criminaliteit weinig opgetreden Waa",-0.8812559269916423,-0.6145793226697615,NEG,NEG
1957,2015,AD/Algemeen Dagblad,'Het beste moet nog komen',nieuwe album Cass County Don Henley heel Amerika kop gezet Denk steenrijke zanger Hotel California 68ste stilzit beste ideeën krijg tijdens tuinieren leegmaken vaatwasser raar sfeertje 92Y gedateerd ogend communicatiecentrum uptown New York voorbode release Cass County voelt Billy Joel vriend collega Don Henley tand krijgt zelfs immer nors ogende Henley lachen Waarom lukt belachelijk hoge noten Hotel California solohit Boys Summer halen Ach roken goed glas whisky wonderen vertelt Henley spijt sommige Eagles-liedjes Desperado absoluut keer willen namen aftandse studio Londen stelletje arrogante Engelse klassieke muzikanten stront behandelden 68 ziet drummende vocalist prima volle rossige haardos grijs baardje mooie karakteristieke kop Henley weinig veranderd eerste bezoek Nederland goed her,nieuwe album Cass County Don Henley heel Amerika kop gezet Denk steenrijke zanger Hotel California 68ste stilzit beste ideeën krijg tijdens tuinieren leegmaken vaatwasser raar sfeertje 92Y gedateerd ogend communicatiecentrum uptown New York voorbode release Cass County voelt Billy Joel vriend collega Don Henley tand krijgt zelfs immer nors ogende Henley lachen Vooral Mick Dolly erg blij muziek Stones tussen 1968 1972 maakten schurkt countrymuziek Mick perfecte stem soort liedjes Dolly komt net zuiden Amerika groeide armoede reden waarom oude liedje Stop Dreaming Louvin Brothers opgenomen Henley lepelt anekdotes moeiteloos onze radiootjes luisterden kinderen beiden muziek stem Dolly hoor pijn jeugdjaren Los Angeles videoclip nummer opnamen vanuit ziekenhuis studio overgebracht zes pijnlijke,-0.35867006425005293,-0.32855249349454657,NEG,NEG
7338,2015,AD/Algemeen Dagblad,Boswachter struikelt vaker over drugsafval,Boswachters treffen Holterberg steeds vaker restanten wietoogsten vaten xtc-afval zegt Arend Spijker gastheer Sallandse Heuvelrug reactie twitterbericht Holtense oud-wielrenner Theo Rooij Rooij meldde tweet maandag Stentor stond oogst 1 week Holterberg ingeslagen autoruiten diefstallen auto's gedumpte laptoptas emmer verf Volgens Spijker komen zulke incidenten vrij regelmatig frequentie vrij constant zorgen maken Spijker collega's drugsgerelateerde afvaldump gebeurt steeds vaker wietplantjes vaten xtc-afval tegenkomen ontdekken zetten direct boel af laten team politie afhandelen zorgelijk soort dingen afgelegen plekken gebeurt,Boswachters treffen Holterberg steeds vaker restanten wietoogsten vaten xtc-afval zegt Arend Spijker gastheer Sallandse Heuvelrug reactie twitterbericht Holtense oud-wielrenner Theo Rooij Rooij meldde tweet maandag Stentor stond oogst 1 week Holterberg ingeslagen autoruiten diefstallen auto's gedumpte laptoptas emmer verf Volgens Spijker komen zulke incidenten vrij regelmatig frequentie vrij constant zorgen maken Spijker collega's drugsgerelateerde afvaldump gebeurt steeds vaker wietplantjes vaten xtc-afval tegenkomen ontdekken zetten direct boel af laten team politie afhandelen zorgelijk soort dingen afgelegen plekken gebeurt,-0.7984863236767147,-0.7984863236767147,NEG,NEG
6988,2015,AD/Algemeen Dagblad,"Bierblikjes, een dure sloep en 3 lichamen",gezellig bootje drie jonge mannen zaterdagnacht leven kwamen Getuigen zien diverse blikjes bier liggen Even gedacht onwel werden feestje buurt twee anderen vervuilde drugs ziekenhuis belandden blijkt koolmonoxidevergiftiging peperdure sloep daarin 3 jonge dode mannen Buurtbewoners Wateringen staan zondagmiddag raadsel politie grote witte tent opzet kant weg deed drietal kostbare Corsiva 690 sloep Omwonenden weten vertellen boot zaterdag gelegen getuige meldt zelfs politie gisternacht rond half vier Zwetkade fietste licht boot zag branden stopte keek boot zag fietste vervolgens huis getuige VVD-raadslid gemeente Westland Elly Wilk zag sloep zaterdag s middags rond half vier heen weer Rijswijk fietste Zwetkade Noord Wateringen kap eraf trok onze aandacht drie lichamen boot terecht gekomen ie,peperdure sloep daarin 3 jonge dode mannen Buurtbewoners Wateringen staan zondagmiddag raadsel politie grote witte tent opzet kant weg deed drietal kostbare Corsiva 690 sloep Omwonenden weten vertellen boot zaterdag gelegen getuige meldt zelfs politie gisternacht rond half vier Zwetkade fietste licht boot zag branden stopte keek boot zag fietste vervolgens huis getuige VVD-raadslid gemeente Westland Elly Wilk zag sloep zaterdag s middags rond half vier heen weer Rijswijk fietste Zwetkade Noord Wateringen kap eraf trok onze aandacht drie lichamen boot terecht gekomen iedereen groot raadsel criminele afrekening denken buurtbewoners eerste Volgens buurtbewoner Arnold Jansen mensen flink bierblikjes boot gezien elk geval flink gefeest Sommige buurtbewoners denken drie mannen mogelijk feest Rij,-0.973082798286959,-0.7445256123743998,NEG,NEG
8350,2015,AD/Algemeen Dagblad,Cocaïne duikt op tussen bananen,diverse Duitse supermarkten cocaïne aangetroffen tussen bananen gaat totaal coke ter waarde 10 miljoen euro grootste Duitse vangst jaren drugs gesmokkeld vanuit Zuid-Amerika Blijkbaar aankomst Europa misgegaan dozen onderweg supermarkten smokkelaars eruit wilden halen verdachten gepakt,diverse Duitse supermarkten cocaïne aangetroffen tussen bananen gaat totaal coke ter waarde 10 miljoen euro grootste Duitse vangst jaren drugs gesmokkeld vanuit Zuid-Amerika Blijkbaar aankomst Europa misgegaan dozen onderweg supermarkten smokkelaars eruit wilden halen verdachten gepakt,-0.6724176025611355,-0.6724176025611355,NEG,NEG
7416,2015,AD/Algemeen Dagblad,Brave Cliff kon wel lachen om ruige Young Ones,single Living Doll 1986 resultaat misschien vreemdste combinaties geschiedenis Top 40 bezielde zoetgevooisde crooner Cliff Richard 74 samen werken vier grofgebekte komieken BBC-serie Young Ones Cliff Richard 1959 hit gescoord opgewekte luisterliedje Living Doll impact 1986 opnieuw opgenomen versie personages anarchistische successerie Young Ones hippie Neil gladjakker Mike beroepszeikerd Rick punker Vyvyan vele malen groter bijzonder Richard leende muzikale uitstapje zootje ongeregeld comedyserie Natuurlijk hielp opbrengsten single ten goede kwamen Comic Relief liefdadigheidsprogramma zieke kinderen niemand kwalijk genomen nee gezegd Young Ones Engelse crooner immers meerdere malen onderwerp spot personage Rick serie overigens vernoemd single Young Ones Cliff Richard regelmatig keihard mal,single Living Doll 1986 resultaat misschien vreemdste combinaties geschiedenis Top 40 bezielde zoetgevooisde crooner Cliff Richard 74 samen werken vier grofgebekte komieken BBC-serie Young Ones Cliff Richard 1959 hit gescoord opgewekte luisterliedje Living Doll impact 1986 opnieuw opgenomen versie personages anarchistische successerie Young Ones hippie Neil gladjakker Mike beroepszeikerd Rick punker Vyvyan vele malen groter bijzonder Richard leende muzikale uitstapje zootje ongeregeld comedyserie Natuurlijk hielp opbrengsten single ten goede kwamen Comic Relief liefdadigheidsprogramma zieke kinderen niemand kwalijk genomen nee gezegd Young Ones Engelse crooner immers meerdere malen onderwerp spot personage Rick serie overigens vernoemd single Young Ones Cliff Richard regelmatig keihard mal,-0.5346168095866375,-0.5346168095866375,NEG,NEG
19379,2015,AD/Algemeen Dagblad,NS moet eens als een echt bedrijf werken,Roger Boxtel Roger Boxtel II Roger Boxtel III Kleuters zindelijk nullijn Economie trekt Economie trekt II Gisteren enigszins kromme tenen interview NS-topman Boxtel gelezen AD 23-12 Kennelijk NS doorgedrongen bijna 2016 bijna 17 miljoen inwoners groot deel daarvan trein neemt oplossing gevonden overvolle treinen spits getuigt gewoon gebrek visie Oplossing volgens Boxtel spreiden vraag terwijl elk normaal bedrijf weet aanbod juist aanpassen vraag oplossing eenvoudig geef alle passagiers moeten staan 50 procent korting voelt NS vervolgens snel voldoende materieel moeten namelijk gaan functioneren echt commercieel bedrijf hoor gisteren NS-directeur Roger Boxtel zeggen reizigers lenigheid geest verwacht tekort plaatsruimte lossen lenigheid geest directie NS moeten nieuwe treinstellen moesten b,Gisteren enigszins kromme tenen interview NS-topman Boxtel gelezen AD 23-12 Kennelijk NS doorgedrongen bijna 2016 bijna 17 miljoen inwoners groot deel daarvan trein neemt oplossing gevonden overvolle treinen spits getuigt gewoon gebrek visie Oplossing volgens Boxtel spreiden vraag terwijl elk normaal bedrijf weet aanbod juist aanpassen vraag oplossing eenvoudig geef alle passagiers moeten staan 50 procent korting voelt NS vervolgens snel voldoende materieel moeten namelijk gaan functioneren echt commercieel bedrijf hoor gisteren NS-directeur Roger Boxtel zeggen reizigers lenigheid geest verwacht tekort plaatsruimte lossen lenigheid geest directie NS moeten nieuwe treinstellen moesten besteld Meneer Boxtel draait probleem beetje goed Nederland oude NS-materiaal stal gehaald eindelijk weer g,-0.6823490303461277,-0.6255130170900771,NEG,NEG
20982,2015,AD/Algemeen Dagblad,Politie pakt 7 leden op van criminele bende,grote politieactie tien invallen Tiel Ede Gouda Den Haag Rotterdam gisteren crimineel netwerk opgerold zeven mensen aangehouden verdacht inbraken witwassen hennepteelt deelname criminele organisatie Tiel 23-jarige man opgepakt gezien hoofdverdachte Den Haag 50-jarige man opgepakt Ede twee mannen 21 23 Wegens wapen drugsbezit 26-jarige man Tiel vastgezet woning dezelfde plaats man gearresteerd politie langere tijd zocht 28-jarige man Tiel meldde loop dag politiebureau aanhoudingen auto's telefoons dure horloges beslag genomen evenals drugs geldbedragen wapens inbrekersgereedschap ANP,grote politieactie tien invallen Tiel Ede Gouda Den Haag Rotterdam gisteren crimineel netwerk opgerold zeven mensen aangehouden verdacht inbraken witwassen hennepteelt deelname criminele organisatie Tiel 23-jarige man opgepakt gezien hoofdverdachte Den Haag 50-jarige man opgepakt Ede twee mannen 21 23 Wegens wapen drugsbezit 26-jarige man Tiel vastgezet woning dezelfde plaats man gearresteerd politie langere tijd zocht 28-jarige man Tiel meldde loop dag politiebureau aanhoudingen auto's telefoons dure horloges beslag genomen evenals drugs geldbedragen wapens inbrekersgereedschap ANP,-0.7192572199244662,-0.7192572199244662,NEG,NEG
10379,2015,AD/Algemeen Dagblad,Drank & Drugs meest gestreamd deze zomer,geruchtmakende hit Drank Drugs rappers Lil Kleine Ronnie Flex zomer meest beluisterde single streamingdienst Spotify land eindigde Drank Drugs klassement coverversie Ain't Nobody Felix Jaehn derde plek staat Lean Major Lazer single wereldwijd meest gespeelde song laatste 3 maanden tweede plaats staat Cheerleader OMI Wiz Kalifa See Hoevaak songs afzonderlijk afgespeeld bekend,geruchtmakende hit Drank Drugs rappers Lil Kleine Ronnie Flex zomer meest beluisterde single streamingdienst Spotify land eindigde Drank Drugs klassement coverversie Ain't Nobody Felix Jaehn derde plek staat Lean Major Lazer single wereldwijd meest gespeelde song laatste 3 maanden tweede plaats staat Cheerleader OMI Wiz Kalifa See Hoevaak songs afzonderlijk afgespeeld bekend,-0.19762776138950455,-0.19762776138950455,NEU,NEU
4083,2015,AD/Algemeen Dagblad,'Zonder De Ruyter stond ik hier niet',grootste verschil tussen Rob Verkerk Commandant Zeestrijdkrachten zeeheld Michiel Ruyter Eerstgenoemde voert gevechten Ruyter deed staat basis Korps Mariniers Nederland Aanvankelijk bedoeling puntbaard zeevaarder Piet Hein hiernaast sieren krulsnor Michiel Ruyter ach meeste Nederlanders zullen twee zeehelden min inwisselbaar Lood oud ijzer oneerbiedig uitgedrukt Rob Verkerk 55 Piet Hein ontegenzeggelijk zeeheld veroverde zilvervloot acties zee prima betekenis Ruyter breder speelde doorslaggevende rol diverse zeeslagen stond basis moderne oorlogvoering zee later gesprek Michiel Ruyter misschien gezeten eerste plaats staat mede basis Korps Mariniers 350 bestaat Ten tweede rol zeeslagen verantwoordelijk voortbestaan Republiek Zeven Provinciën voorloper Nederland boodschap mag duidelijk Verker,Aanvankelijk bedoeling puntbaard zeevaarder Piet Hein hiernaast sieren krulsnor Michiel Ruyter ach meeste Nederlanders zullen twee zeehelden min inwisselbaar Lood oud ijzer oneerbiedig uitgedrukt Rob Verkerk 55 Piet Hein ontegenzeggelijk zeeheld veroverde zilvervloot acties zee prima betekenis Ruyter breder speelde doorslaggevende rol diverse zeeslagen stond basis moderne oorlogvoering zee later gesprek Michiel Ruyter misschien gezeten eerste plaats staat mede basis Korps Mariniers 350 bestaat Ten tweede rol zeeslagen verantwoordelijk voortbestaan Republiek Zeven Provinciën voorloper Nederland boodschap mag duidelijk Verkerk verhaalt liever Zeeuw Zuid-Hollander Rob Verkerk naam enige introductie behoeft Anders Ruyter beeldvorming zeeslagen ongeveer vanaf voorsteven oorlogsschepen voerde vo,-0.4603986516778397,0.10204695160610767,NEG,NEU
