id,Headline,Date,Year,Newspaper,sentiment_label,sentiment_score
0,'Coke-opa' baas waterbedrijf; OM: Willem van de G. (77) spil in grote smokkelzaak,2020-06-20,2020,De Telegraaf,NEG,-0.3150173819964955
1,'Aanpak misdaad faalde',2020-07-11,2020,De Telegraaf,NEG,-0.8709555709076713
2,"'Aanvallen', sprak de profeet in de droom",2020-06-19,2020,de Volkskrant,NEG,-0.4429533195370811
3,"'Als er gedonder was, riep je Orm'; 'Lekagent' eerder onderzocht wegens 'cowboygedrag' maar mocht blijven",2020-06-02,2020,De Telegraaf,NEG,-0.5481783792789344
4,"'Als kind was hij aardig, maar door drugsgebruik is hij gek geworden'",2017-10-11,2017,AD/Algemeen Dagblad,NEG,-0.9598943302853075
5,'Alsof we aan de vergadertafel van criminelen zaten',2020-07-03,2020,de Volkskrant,NEU,-0.01895789398352739
6,'Atleet en vriend terug naar cel',2020-08-04,2020,AD/Algemeen Dagblad,NEG,-0.7354568415303242
7,'Atleet Roelf B. en vriend weer cel in',2020-08-04,2020,De Telegraaf,NEG,-0.531850599522118
8,'Beiroet zal ook nu uit de as herrijzen',2020-08-08,2020,AD/Algemeen Dagblad,NEG,-0.6456400238494582
9,'België is erotiek en Nederland is harde porno',2017-09-28,2017,AD/Algemeen Dagblad,POS,0.31841714550821026
10,'Brabant nog zeker 10 jaar boevennest',2017-09-16,2017,AD/Algemeen Dagblad,NEG,-0.9391072295558176
11,'Busje komt zo.. Hoe ging-ie ook alweer?',2020-07-30,2020,AD/Algemeen Dagblad,NEG,-0.3610844400479607
12,"'Champagne doen we niet zo snel bij de familie De Mol'; Gouden duo Johnny en Wendy scoort op de vrijdagavond met We Want More, maar:",2020-06-19,2020,De Telegraaf,POS,0.9557257974474455
13,'Christian schepte in kroeg op over Maddie-ontvoering'; Sloeg potentiële kindermoordenaar ook in Nederland toe?,2020-06-17,2020,De Telegraaf,NEG,-0.6950655856523357
14,'Coffeeshops in hoofdstad alleen voor inwoners',2020-07-17,2020,De Telegraaf,NEG,-0.32050195063790027
15,'Cohen is altijd een ijkpunt in mijn muziek geweest',2020-06-27,2020,de Volkskrant,NEG,-0.4463881753463484
16,'Corrupt contact in bijna iedere misdaadzaak',2020-06-03,2020,De Telegraaf,NEG,-0.8839732342983682
17,'Criminele burgerinfiltrant werd losgelaten op mijn cliënt',2020-06-13,2020,AD/Algemeen Dagblad,NEG,-0.9085456492925381
18,'Dat spul is te debiel voor woorden',2020-08-01,2020,AD/Algemeen Dagblad,NEG,-0.960500181812065
19,'De dood van Anne Faber was mijn zwartste scenario',2017-10-21,2017,AD/Algemeen Dagblad,NEG,-0.9110662849042185
20,'Deze haven is zo lek als een mandje',2020-07-02,2020,de Volkskrant,NEG,-0.9024426324940338
21,'Dienst' niet het ei van Columbus,2017-10-06,2017,AD/Algemeen Dagblad,NEG,-0.48984883067192997
22,'Dwangsom drugsmisdadiger',2020-06-03,2020,De Telegraaf,NEG,-0.851466725573469
23,'Echt goede blues kan me ontroeren',2017-10-12,2017,AD/Algemeen Dagblad,NEG,-0.46017469325382165
24,'Een arme gast die de wereld gaat veranderen',2020-06-10,2020,de Volkskrant,POS,0.47451632461278165
25,'Falende ouders de echte schuldigen'; Gewonde agent in zaak trouwstoetmepper:,2020-06-26,2020,De Telegraaf,NEG,-0.9362637539401519
26,'Fors handhaven na steekpartij'; 'Dit is totaal onacceptabel',2020-06-16,2020,De Telegraaf,NEG,-0.9393885163708425
27,'Gekeken met Afgrijzen'; Zelfs binnen eigen veiligheidsregio klinkt felle kritiek op aanpak Amsterdamse burgemeester Halsema,2020-06-03,2020,De Telegraaf,NEG,-0.7453514501842993
28,'Godfather' van Oss vindt aanklacht opgeblazen,2020-07-09,2020,de Volkskrant,NEG,-0.5855567773635798
29,'Hij reed wel vaker op de vrachtwagen'; Waarom verzweeg Urker wethouder functie in bedrijf zoon?,2020-08-07,2020,De Telegraaf,NEG,-0.7772052189555891
30,'Hij riep: dat kind is dood en daarmee klaar',2020-06-13,2020,AD/Algemeen Dagblad,NEG,-0.20842496357656023
31,'Hij riep: dat kind is dood en daarmee klaar',2020-06-13,2020,AD/Algemeen Dagblad,NEG,-0.20842496357656023
32,'Hij stond voor alle Amsterdammers',2017-10-07,2017,AD/Algemeen Dagblad,NEG,-0.970475882008631
33,"'Hij wilde hier preken, ik zei: pas op met die man'",2017-08-22,2017,de Volkskrant,NEG,-0.7618853303398665
34,'Holleeder gebruikt onze telefoon te vaak'; Zaak tegen Rico de Chileen later na verzoek raadsman,2020-06-03,2020,De Telegraaf,NEG,-0.5482452667666146
35,'Ik ben een heel gewone jongen',2017-09-11,2017,AD/Algemeen Dagblad,NEG,-0.9559248875152621
36,'Ik ben niet meer de man die ik was'; Gegijzelde taxichauffeur stond doodsangsten uit na uitbraak tbs-kliniek,2020-06-10,2020,De Telegraaf,NEG,-0.795273151659154
37,"'Ik ben niet slecht, denk ik'",2017-10-21,2017,AD/Algemeen Dagblad,NEG,-0.9672357758786563
38,'Ik ben nog nooit zo eenzaam geweest'; Gordon blikt terug op zijn eerste nuchtere jaar:,2020-07-08,2020,De Telegraaf,NEU,-0.1707574063536887
39,'Ik kan nóg huilen als ik eraan terugdenk'; Nuchtere Gordon krabbelt op na genadeloze TERUGVAL,2020-07-07,2020,De Telegraaf,NEG,-0.8472566260249407
40,'Ik kan nóg niet geloven dat je me hebt verlaten'; Presley-kleindochter praat voor het eerst over droeve zelfmoord van broer Benjamin,2020-07-20,2020,De Telegraaf,NEG,-0.8036421424717355
41,'Ik ken geen medicijn tegen discriminatie',2020-06-15,2020,de Volkskrant,NEG,-0.9766855958021129
42,"'Ik kon de deur niet meer halen, dacht dat ik niet meer leefde'",2020-08-01,2020,AD/Algemeen Dagblad,POS,0.5841335367263891
43,'Ik leg dingen vast die je anders niet ziet',2017-08-28,2017,de Volkskrant,NEG,-0.4060425344486554
44,'Ik schreeuwde het uit: dat is mijn zoon!',2020-06-20,2020,De Telegraaf,POS,0.3387400667148498
45,'Ik vertelde wat de politie wilde horen'; B. weet nu niets meer van verdrinkingsdood Orlando (17),2020-06-30,2020,De Telegraaf,NEG,-0.5609993985257689
46,"'Ik was op weg naar de top, hij naar het dal'",2020-08-04,2020,AD/Algemeen Dagblad,NEG,-0.7831018374163893
47,'Ik wil geen grapje zijn',2017-08-26,2017,de Volkskrant,POS,0.7321395106519136
48,'Ik zou geen agent meer willen zijn'; Nederlandse veteraan laakt protesten,2020-06-27,2020,De Telegraaf,NEG,-0.6834715524963147
49,'Ik zou het niet erg vinden nu te sterven',2020-07-11,2020,AD/Algemeen Dagblad,NEU,-0.1547103261000178
50,'In één keer was ik totaal bewusteloos',2020-08-01,2020,AD/Algemeen Dagblad,NEG,-0.9024741824897949
51,'Italië adviseert ons om naar onze wetgeving te kijken',2017-09-14,2017,AD/Algemeen Dagblad,NEG,-0.3522637185885554
52,'Kogels waren niet voor mij'; Autopoetsbedrijf beschoten,2020-07-07,2020,De Telegraaf,NEG,-0.5667681099964073
53,'Kom je vrij van je bewustzijn dan ben je het leven zelf',2020-07-06,2020,de Volkskrant,NEG,-0.6783048669490663
54,'Lachgasverbod over een jaar',2020-07-01,2020,AD/Algemeen Dagblad,NEG,-0.4583311746721787
55,'Madeleine McCann vermoord',2020-06-05,2020,de Volkskrant,NEG,-0.7091393580296961
56,'Mehmet K. deelde politie-informatie'; Rotterdamse agent is buiten functie gesteld,2020-06-16,2020,De Telegraaf,NEG,-0.7232922456565666
57,'Mensen staan in de rij voor een selfie!'; Vrouwen zeer gecharmeerd van Vlaamse acteur,2020-07-08,2020,De Telegraaf,NEU,0.02716970585420206
58,'Misdrijf van de buitencategorie'; Brute overval ontnam bejaarde levensvreugde,2020-06-04,2020,De Telegraaf,NEG,-0.8517710070675962
59,'Mondkapje verplicht op Kalverstraat',2020-07-21,2020,De Telegraaf,NEU,-0.19259286744194087
60,'Motorclub Bandidos verbieden? Dan noemen ze zich Ramdidos',2017-10-03,2017,AD/Algemeen Dagblad,NEG,-0.8418224593639133
61,'Mystery-verdachte' voor de rechter wegens moord,2017-09-06,2017,AD/Algemeen Dagblad,NEG,-0.7725052956661402
62,'Naam in haar buik gekerfd'; OM: sadistische mishandeling en uitbuiting,2020-07-29,2020,De Telegraaf,NEG,-0.7825413001414747
63,'Opa Jan' opnieuw vast,2020-07-01,2020,AD/Algemeen Dagblad,NEG,-0.6952953676092156
64,'Patsercontroles witte kentekens'; VVD: wagens met misdaadgeld betaald,2020-07-30,2020,De Telegraaf,NEG,-0.39409971178914305
65,'Patsers die overal schijt aan hebben',2020-05-27,2020,de Volkskrant,NEG,-0.6146569411684314
66,'Prinses Diana zou nu een glamour-oma zijn',2017-08-24,2017,AD/Algemeen Dagblad,NEG,-0.9173468709927092
67,'Regie Schiphol pakken'; Strijd tegen ondermijning lijkt om vliegveld heen te gaan,2020-05-28,2020,De Telegraaf,NEG,-0.7078426098478052
68,'Sheriff' Santokhi pakt eindelijk 'boef' Bouterse,2020-05-27,2020,AD/Algemeen Dagblad,NEU,-0.103217898307693
69,'Softdrug alleen voor inwoner',2020-06-26,2020,De Telegraaf,NEG,-0.45716980634280735
70,'Soms voel ik me als een zak vuilnis langs de weg',2020-07-31,2020,AD/Algemeen Dagblad,POS,0.6143285549452157
71,'Straks zit ik in Spaanse cel te verpieteren'; Verdacht van drugstransport 500 kilo coke per zeilboot,2020-07-08,2020,De Telegraaf,NEG,-0.6442229557128595
72,'Teheran toont zijn macht in Friesland',2020-07-22,2020,de Volkskrant,NEG,-0.6252254788059183
73,'Teheran toont zijn macht in Friesland',2020-07-22,2020,de Volkskrant,NEG,-0.6252254788059183
74,"'The Beast supersnel op rampplek'; Slimme hulpdrone ziet, hoort en ruikt alles",2020-07-07,2020,De Telegraaf,POS,0.7079951783082797
75,'Thuis heb ik hier een tuinman voor',2020-07-06,2020,de Volkskrant,NEU,-0.07120978218010737
76,'Trouwstoetmepper' gaat een jaar de cel in voor slaan agent,2020-07-10,2020,AD/Algemeen Dagblad,POS,0.22678024991241835
77,'U bent wel een moordenaar',2020-07-31,2020,AD/Algemeen Dagblad,NEG,-0.8732587402876776
78,'Veel mensen waren bang voor hem',2017-10-12,2017,AD/Algemeen Dagblad,NEU,0.016069263820812765
79,'Vlieg-aso al weren bij ingang',2020-08-05,2020,De Telegraaf,NEG,-0.8607309017705307
80,'War on drugs' leidt in de VS tot moderne vorm slavernij,2020-07-08,2020,de Volkskrant,NEG,-0.45421020379073385
81,'We dachten: we nemen een heel klein beetje lsd. Maar de trip duurde te lang',2020-06-17,2020,de Volkskrant,NEG,-0.321710816569236
82,'Wij waren dronken!',2020-07-31,2020,De Telegraaf,NEG,-0.783876378001954
83,'Zelfmoordgolf onder overlevenden torenbrand',2017-09-06,2017,AD/Algemeen Dagblad,NEG,-0.844104000088274
84,'Zelfs liegende officieren van justitie vinden rechters geen enkel probleem',2020-07-07,2020,de Volkskrant,NEG,-0.8206004810810367
85,"#MeToo is humorloos, puriteins en eendimensionaal",2017-10-24,2017,de Volkskrant,NEG,-0.8979045440897931
86,",,Er zijn geen verleidingen meer""; Gordon's nieuwe maagballon: inslikken en afvallen maar",2020-07-01,2020,De Telegraaf,NEG,-0.8949779441568483
87,[Openbaar Ministerie Nee Thijs H. (28) kon zelf keu...]*,2020-07-30,2020,de Volkskrant,NEG,-0.8943713167654931
88,[Toen Pablo Escobar aan het eind van het tweede sei...]*,2017-09-13,2017,de Volkskrant,NEG,-0.35226375624659123
89,’Beelden killer op sociale media’,2017-09-20,2017,De Telegraaf,NEG,-0.7756788030329179
90,"’Bizar, ik ben er stuk van’",2017-09-07,2017,De Telegraaf,NEG,-0.6745548604157576
91,’Collega gebruikte me als alibi’,2017-09-30,2017,De Telegraaf,NEG,-0.7391917630307693
92,’Complex maar ook heel echt’,2017-09-14,2017,De Telegraaf,NEU,0.13905469029884882
